char,source,text,keywords,context,count,cluster
illidan,https://wowpedia.fandom.com/wiki/Illidan_Stormrage,"Illidan, with a new plan spurred into his mind, journeyed to Zin-Azshari. There he feigned allegiance to Azshara and Mannoroth. Illidan's plan was to obtain the Demon Soul, an artifact of great power created by Deathwing also known as Neltharion the Earth-Warder, which had the ability to close the portal which was allowing the demons to enter Kalimdor. However, to put this plan in action, Illidan had to gain more power. Illidan was eventually brought before Sargeras himself, who quickly discovered the night elf's plan to obtain the Demon Soul for the Legion. Sargeras was pleased with this plan and gave Illidan a ""gift"" in return for his allegiance. Illidan's eyes were burned out by Sargeras himself, despite still being beyond the portal, and orbs of mystic fire set in their place that allowed Illidan to see all forms of magic, and fel tattoos covered his body. When Illidan's eyes were burned out, he also received a vision of the true strength of the Legion and their crusade across infinite universes, and he came to realize that defeating them on Azeroth would mean nothing. He resolved then to find a way to defeat them for good.[26][27] Lady Vashj was among the handmaidens who nursed Illidan back to health, and handed him an amber scarf of the same color as his former eyes to cover his empty sockets.[28] Queen Azshara was fascinated by the ""new"" Illidan (who was wary of her advances), but remained cautious, sending Captain Varo'then to accompany Illidan in his search for the Demon Soul.
",['power'],"Illidan had to gain more power. Illidan was eventually brought before | Soul, an artifact of great power created by Deathwing also known",1,1
illidan,https://wowpedia.fandom.com/wiki/Illidan_Stormrage,"When the Demon Soul came into the hands of the Legion, they went about using it as a focus to strengthen their portal above the Well of Eternity for Sargeras. Illidan reunited with the Kaldorei Resistance, which now greatly mistrusted him after seeming to betray them and hand over the key to victory to the demons. But working alongside Malfurion, the brothers worked together to close the portal with the Demon Soul's power. The destruction of the portal caused the Well of Eternity itself to grow unstable, and right before the defenders fled Zin-Azshari Illidan took several vials and filled them with water from the Well of Eternity. The Great Sundering that resulted from the Well's instability split the main supercontinent of Kalimdor into various smaller continents.
",['power'],portal with the Demon Soul's power. The destruction of the portal,1,1
illidan,https://wowpedia.fandom.com/wiki/Illidan_Stormrage,"After the Great Sundering, Illidan scaled the peaks of Mount Hyjal, where he found a small, tranquil lake. There he poured the contents of three of the vials into the waters. The chaotic energies quickly manifested, tainting the lake and twisting it into a new Well of Eternity. Illidan's joy was short-lived however, when his brother, Malfurion, Tyrande and the rest of the kaldorei leadership discovered him - and all were horrified at what he'd done. Unable to accept that his brother had committed such treachery, Malfurion tried again to explain to Illidan the folly of his ways. The magic, he insisted, was chaotic by nature, and it could only bring about destruction so long as it existed. Illidan refused to listen, so enraptured by the magic's power that his brother seemed to him an unknowing fool. Illidan claimed that magic would be needed should the Burning Legion ever return.
",['power'],so enraptured by the magic's power that his brother seemed to,1,1
illidan,https://wowpedia.fandom.com/wiki/Illidan_Stormrage,"Malfurion opposed Tyrande's decision, thinking the release of Illidan a catastrophic mistake.[31] Frustrated that his brother remained unchanged and eager to prove to him that the demons had no hold over him, Illidan left Malfurion behind, leading a force of night elves into Felwood to hunt down the Legion. While in Felwood, he encountered Arthas, champion of the Lich King, and they engaged in combat. The fighters were equally matched, and the combatants reached an impasse. Illidan stopped the duel and demanded to know why Arthas had tracked him. Arthas responded openly, telling Illidan about the Skull of Gul'dan, the demonic artifact that had corrupted Felwood. He explained that if the artifact were destroyed, the corruption of the forests would halt. To ensure that Illidan would take the bait, Arthas spared no detail of the Skull's power, adding that his master knew of Illidan's thirst for power. Although Illidan did not trust Arthas, he nevertheless sought the Skull and its power out.
","['power', 'corruption']","sought the Skull and its power out. | knew of Illidan's thirst for power. Although Illidan did not trust | the artifact were destroyed, the corruption of the forests would halt. | no detail of the Skull's power, adding that his master knew",2,1
illidan,https://wowpedia.fandom.com/wiki/Illidan_Stormrage,"A great Demon Gate defended the Skull as Illidan and his forces had to fight mightily to gain access to the artifact. Driven by necessity and influenced by the belief that with the increased power, he could, at last, redeem himself in the eyes of Tyrande, he shattered the demonic seal and used the Skull's powers for his own. Strength he found, but peril greater than power came to him at once. The battle for control of the Skull came with a heavy price and the artifact's powers changed him. Transformed into a demon, Illidan wrapped himself in shadow and utterly destroyed Tichondrius and his forces. But with victory came devastation. Tyrande and Malfurion sensed the demonic power lurking within Illidan and turned away with disgust and despair. Malfurion chastised his brother, convinced that Illidan had traded his soul for more power. Enraged, Malfurion banished his brother from the forests.
",['power'],"found, but peril greater than power came to him at once. | heavy price and the artifact's powers changed him. Transformed into a | and Malfurion sensed the demonic power lurking within Illidan and turned | belief that with the increased power, he could, at last, redeem | traded his soul for more power. Enraged, Malfurion banished his brother | seal and used the Skull's powers for his own. Strength he",1,1
illidan,https://wowpedia.fandom.com/wiki/Illidan_Stormrage,"Feeling his sacrifice and effort were unappreciated, Illidan muttered ""So be it... brother"", and left the night elf lands.[32]
",['sacrifice'],"Feeling his sacrifice and effort were unappreciated, Illidan",1,1
illidan,https://wowpedia.fandom.com/wiki/Illidan_Stormrage,"After the Legion's defeat, Illidan was visited by Kil'jaeden, who, while noting Illidan's sketchy track record with the Legion, offered him one final chance to serve them. He told him to seek out the Frozen Throne, and destroy it. Ner'zhul had grown far too powerful for Kil'jaeden to control and betrayed him, and Illidan was to remove him from the equation; in exchange for more power and magic than he could dream of.[33] He granted him the Orb of Kil'jaeden to aid him in this task.
",['power'],equation; in exchange for more power and magic than he could | Ner'zhul had grown far too powerful for Kil'jaeden to control and,1,1
illidan,https://wowpedia.fandom.com/wiki/Illidan_Stormrage,"Illidan had heard only rumors of the Highborne's fate. Illidan cast a powerful spell and called the naga to the surface, calling in some old Highborne debts.[34] A group of naga led by Lady Vashj emerged from the depths and pledged themselves to him. They did not come because of their shared history, nor did they respect his demonic power. They came because the Old Gods willed it. They noticed Illidan and his hunger for power. They sent the naga to aid Illidan in his campaign against the Lich King so that it could spark a new war. If the former night elf became troublesome, the Old Gods could simply command the naga to cut out his fel-corrupted heart.[35]
",['power'],Illidan and his hunger for power. They sent the naga to | did they respect his demonic power. They came because the Old | Highborne's fate. Illidan cast a powerful spell and called the naga,1,1
illidan,https://wowpedia.fandom.com/wiki/Illidan_Stormrage,"But Illidan's servants had not been successful in destroying the boats. Maiev and the Watchers arrived on the Broken Isles shortly after Illidan, and the two forces battled across the watery terrain. Illidan reached the tomb, and Maiev was quick to follow. With Gul'dan's knowledge, Illidan quickly traversed the Tomb and came to the chamber which contained the Eye of Sargeras. Maiev came upon him as he and Vashj were activating the powerful artifact, and, as vengeance for her imprisoning him for 10,000 years, Illidan used the Eye to bring the Tomb down around her, and then quickly escaped through the underwater passages used by the naga. Though he killed Naisha and all the other Watchers within the Tomb, Maiev escaped with her magical abilities. On the surface, Illidan and Maiev battled for supremacy as the Warden sent out a runner to gather reinforcements from Ashenvale.
",['power'],"and Vashj were activating the powerful artifact, and, as vengeance for",1,1
illidan,https://wowpedia.fandom.com/wiki/Illidan_Stormrage,"Malfurion and Tyrande arrived on the Broken Isles with reinforcements as Maiev's base was being overrun. When they struck back, Illidan's forces crumbled, but he and his retainers fled before they were seriously harmed. Tyrande pursued them out of the base, and Illidan ensnared her to protect himself, and then warned her not to interfere. He fled across the sea once again. During this battle, Tyrande finally revealed why she had spurned Illidan: too drunk with his rising magical and political power, he had forgotten his own inner strength. Malfurion, despite his increases in power, held on to that strength within him. Armed with this knowledge, Illidan finally came to grips with his feelings.
",['power'],"Malfurion, despite his increases in power, held on to that strength | his rising magical and political power, he had forgotten his own",1,1
illidan,https://wowpedia.fandom.com/wiki/Illidan_Stormrage,"When they came to the Black Temple, Illidan was approached by Akama of the Broken, who pledged the allegiance of his race. Akama's broken felt indebted to Illidan and his army for aiding them in their fight against the fel orcs of Magtheridon, who had laid siege to their village with the intent of slaughtering them all. They laid siege to the Black Temple and destroyed Magtheridon's defenses, and then defeated the Pit Lord in battle himself. Magtheridon noted wryly that Illidan had great power, and asked if the Legion had sent him as a test. Illidan laughed, saying that he was not a test, but a replacement, and imprisoned Magtheridon beneath Hellfire Citadel and kept sealed in place by the fel orc jailor Keli'dan the Breaker.
",['power'],"wryly that Illidan had great power, and asked if the Legion",1,1
